Category,Description,Check
"Run etcd  / Master as a multi-node (odd numbers, atleast 3) cluster in production","A multi-master setup protects against a wide range of failure modes, from a loss of single master / etcd node. By providing redundancy, a multi-master cluster serves a highly available system for your end users.

https://kubernetes.io/docs/tasks/administer-cluster/highly-available-master/",checked
Each Master / Etcd  nodes must be deployed on separate hardware machines. ,"The idea behind replication is to run multiple copies of a process so that if one fails, another one can pick up the job.
Each Master / Etcd nodes must be replicated on separate hardware machines running on separate hosts. 

https://kubernetes.io/docs/tasks/administer-cluster/highly-available-master/",checked
Use OpenID (OIDC) tokens as a user authentication strategy.  ,"Kubernetes uses client certificates, bearer tokens, an authenticating proxy, or HTTP basic auth to authenticate API requests through authentication plugins. 
https://kubernetes.io/docs/reference/access-authn-authz/authentication/",checked
Use ServiceAccount tokens are for applications and controllers only.  ,"Role-based access control (RBAC) is a method of regulating access to computer or network resources based on the roles of individual users within your organization.
RBAC authorization uses the rbac.authorization.k8s.io API group to drive authorization decisions, allowing you to dynamically configure policies through the Kubernetes API.

https://kubernetes.io/docs/reference/access-authn-authz/rbac/",checked
Create service accounts wherever applicable.  ,"Role-based access control (RBAC) is a method of regulating access to computer or network resources based on the roles of individual users within your organization.
RBAC authorization uses the rbac.authorization.k8s.io API group to drive authorization decisions, allowing you to dynamically configure policies through the Kubernetes API.

https://kubernetes.io/docs/reference/access-authn-authz/rbac/",checked
RBAC policies are set to the least amount of privileges necessary ,"Pod Security Policies enable fine-grained authorization of pod creation and updates.
https://kubernetes.io/docs/reference/access-authn-authz/rbac/",checked
Enable Pod Security Policies ,"Pod security policy control is implemented as an optional (but recommended) admission controller. PodSecurityPolicies are enforced by enabling the admission controller, but doing so without authorizing any policies will prevent any pods from being created in the cluster.

https://kubernetes.io/docs/concepts/policy/pod-security-policy/#:~:text=Enabling%20Pod%20Security%20Policies,being%20created%20in%20the%20cluster.",checked
Disable privileged containers ,"The Restricted policy is aimed at enforcing current Pod hardening best practices, at the expense of some compatibility. It is targeted at operators and developers of security-critical applications, as well as lower-trust users.

https://kubernetes.io/docs/concepts/security/pod-security-standards/",checked
Use a read-only filesystem in containers ,"Another security best practice for Kubernetes is to require containers to run with a read-only file system. This is useful because it helps to enforce an immutable infrastructure strategy, since a container whose file system can’t be changed will have to be replaced in order to make changes. This mitigates some of the risks of malicious processes storing or manipulating data inside a container.

https://resources.whitesourcesoftware.com/blog-whitesource/kubernetes-pod-security-policy",checked
Run containers as non-root users ,"The Docker containers by default run with the root privilege and so does the application that runs inside the container. This is another major concern from the security perspective because hackers can gain root access to the Docker host by hacking the application running inside the container.

https://www.thegeekdiary.com/run-docker-as-a-non-root-user/",checked
